movie_id,primary_title,genres,runtime_minutes,averagerating
tt0840361,The Town,"Crime,Drama,Thriller",125.0,7.6
tt0840789,Río de oro,Western,,6.1
tt0841185,Whatever Happened to Pete Blaggit?,"Comedy,Sci-Fi",94.0,6.6
tt0842926,The Kids Are All Right,"Comedy,Drama,Romance",106.0,7.0
tt0843839,The Fallen Word,"Drama,Fantasy,Mystery",60.0,7.4
tt0844699,Ivan Mosjoukine ou L'enfant du carnaval,Documentary,67.0,9.0
tt0844866,Killer by Nature,"Adventure,Crime,Drama",94.0,3.9
tt0844915,Pox,"Comedy,Sci-Fi",100.0,7.5
tt0844993,Hoodwinked Too! Hood vs. Evil,"Animation,Comedy,Crime",86.0,4.8
tt0846004,Gangster Exchange,Action,95.0,4.6
tt0847180,Loot,"Action,Comedy,Crime",110.0,3.6
tt0847215,Neowolf,"Horror,Thriller",88.0,2.3
tt0847505,Night Traveler,Adventure,,8.2
tt0847735,Fun in the Army,Comedy,,4.5
tt0847825,The Speed of Thought,"Sci-Fi,Thriller",93.0,4.8
tt0848228,The Avengers,"Action,Adventure,Sci-Fi",143.0,8.1
tt0848537,Epic,"Adventure,Animation,Family",102.0,6.7
tt0848554,The Sighting,"Horror,Sci-Fi,Thriller",98.0,3.8
tt0849437,Duel of Legends,"Action,Drama,Sport",,6.0
tt0850247,Amsteroid,Sci-Fi,98.0,5.6
tt0850677,Jack & Diane,"Drama,Horror,Romance",110.0,4.5
tt0850678,Jackson Arms,Romance,90.0,6.1
tt0850709,Risen,"Biography,Drama",121.0,5.3
tt0851471,Sir Billi,"Adventure,Animation,Comedy",76.0,4.2
tt0852986,Naked Run,Comedy,84.0,5.2
tt0853002,A Summer Song,Drama,,6.3
tt0853155,This Is What Love in Action Looks Like,Documentary,74.0,6.8
tt0856796,Kolorádó Kid,"Drama,Romance",111.0,6.0
tt0857190,The Sweeney,"Action,Crime,Drama",112.0,6.1
tt0858411,2001 Maniacs: Field of Screams,"Comedy,Horror",84.0,3.3
tt0858419,Bolden,Drama,108.0,5.4
tt0858422,Immortal Island,"Adventure,Horror,Thriller",84.0,5.6
tt0858500,Wide Blue Yonder,"Comedy,Drama",82.0,5.7
tt0859635,Super Troopers 2,"Comedy,Crime,Mystery",99.0,6.1
tt0860907,Evangelion: 3.0 You Can (Not) Redo,"Action,Animation,Drama",96.0,7.0
tt0861747,Zenitram,"Action,Adventure,Comedy",103.0,4.7
tt0862748,Lupin the 3rd,"Action,Adventure,Comedy",133.0,5.6
tt0862930,Dukun,"Horror,Thriller",108.0,6.9
tt0864835,Mr. Peabody & Sherman,"Adventure,Animation,Comedy",92.0,6.8
tt0865557,Letting Go,"Drama,Romance",83.0,6.5
tt0865561,6 Month Rule,Comedy,100.0,4.9
tt0865911,Catharsis,Mystery,89.0,6.6
tt0870208,Touch Wood,Comedy,,8.7
tt0871891,The Nightclub Days,Comedy,,5.0
tt0871893,"Surprise, Surprise",Drama,83.0,4.9
tt0872230,My Soul to Take,"Horror,Mystery,Thriller",107.0,4.8
tt0873886,Red State,"Action,Crime,Horror",88.0,6.2
tt0874268,The Dot Man,"Drama,Thriller",,7.5
tt0874421,Beijing Taxi,Documentary,78.0,6.8
tt0874426,The Secret Philosophy,Thriller,90.0,7.6
tt0875612,Rain Falls from Earth: Surviving Cambodia's Darkest Hour,Documentary,,7.1
tt0875613,Rift,"Horror,Thriller",100.0,2.7
tt0875702,Bury the Hatchet,Documentary,120.0,8.6
tt0878654,Bulletface,Thriller,82.0,5.8
tt0878672,First Circle,Documentary,72.0,7.0
tt0878814,Jewtopia,"Comedy,Romance",90.0,4.5
tt0878835,Please Give,"Comedy,Drama",87.0,6.6
tt0879405,Harm's Way,Thriller,82.0,5.3
tt0879859,Torn,Thriller,,6.8
tt0879870,Eat Pray Love,"Drama,Romance",133.0,5.8
tt0880569,Mama I Want to Sing,Musical,100.0,5.0
tt0881320,Sanctum,"Adventure,Drama,Thriller",108.0,5.9
tt0882741,AIR: The Musical,"Comedy,Musical,Romance",100.0,7.2
tt0882977,Snitch,"Action,Drama,Thriller",112.0,6.5
tt0884214,Wreckage,"Horror,Thriller",87.0,4.3
tt0884325,Drain Baby,Horror,,7.0
